Estacion,Dia,Mes,Ano,Zona,Latitud,Longitud,Skeletonema,Chaetoceros,Thalassiosira,Nitzschia,Asterionella,Biddulphia,Coscinossira,Schroderella,Coscinodiscus,Leptocylindrus,Rhizosolenia,Rhabdonema
51,16,1,2008,Sur,-37.2,-73.5,3420,4860,0,0,0,0,0,0,0,0,0,0
52,16,1,2008,Sur,-37.2,-73.4,1260,1080,3420,0,0,0,0,0,0,0,0,0
53,17,1,2008,Sur,-37.2,-73.2,2700,2880,5400,0,0,0,0,0,0,0,0,0
54,17,1,2008,Sur,-36.8,-73.2,6840,1080,4500,0,0,0,0,0,0,0,0,0
55,17,1,2008,Sur,-37.0,-73.8,0,0,0,0,0,0,0,0,0,0,0,0
56,17,1,2008,Sur,-37.0,-73.7,0,0,0,0,0,0,0,0,0,0,0,0
57,17,1,2008,Sur,-37.0,-73.6,0,0,0,0,0,0,0,0,0,0,0,0
58,17,1,2008,Sur,-37.3,-73.8,360,720,540,0,0,0,0,0,0,0,0,0
59,17,1,2008,Sur,-37.3,-73.7,360,360,0,0,0,0,0,0,0,0,0,0
60,18,1,2008,Sur,-37.5,-73.7,0,3780,360,0,0,0,0,0,0,0,0,0
61,18,1,2008,Sur,-37.8,-73.7,180,360,0,0,0,180,0,0,0,0,0,0
62,19,1,2008,Sur,-37.7,-73.7,0,720,180,0,0,540,0,0,0,0,0,0
63,19,1,2008,Sur,-37.7,-73.8,180,1260,0,0,0,0,0,0,0,0,0,0
64,19,1,2008,Sur,-37.7,-73.9,540,4140,0,0,0,0,0,0,0,0,0,0
65,20,1,2008,Sur,-38.0,-74.0,0,0,0,0,0,0,0,0,0,180,0,0
66,20,1,2008,Sur,-38.0,-73.7,360,0,0,0,180,540,0,0,0,0,0,0
67,20,1,2008,Sur,-38.0,-73.6,0,0,0,0,0,0,0,0,0,0,0,0
68,20,1,2008,Sur,-38.0,-73.5,0,360,0,0,0,180,0,0,0,0,0,0
69,20,1,2008,Sur,-38.2,-73.6,0,0,0,0,0,180,0,0,0,0,0,0
70,20,1,2008,Sur,-38.5,-73.6,1080,540,180,0,0,900,0,0,180,0,0,0
71,20,1,2008,Sur,-38.3,-74.1,0,0,0,0,0,0,0,0,0,0,0,0
72,20,1,2008,Sur,-38.3,-74.2,0,0,0,0,0,0,0,0,0,0,0,0
73,21,1,2008,Sur,-38.3,-73.8,4860,0,0,0,0,0,0,0,0,0,0,0
74,21,1,2008,Sur,-38.3,-73.7,360,0,0,0,0,900,0,0,0,0,0,0
75,21,1,2008,Sur,-38.3,-73.5,360,0,0,0,0,540,0,0,0,0,0,0
76,21,1,2008,Sur,-38.8,-73.5,2340,180,180,0,0,540,0,180,0,0,0,0
77,21,1,2008,Sur,-38.7,-73.5,7920,0,0,0,0,0,0,0,0,0,0,0
78,22,1,2008,Sur,-38.7,-73.6,720,0,0,0,0,180,0,0,0,0,0,0
79,,1,2008,Sur,-38.7,-73.7,3960,0,360,0,0,0,0,0,0,0,0,0
80,,1,2008,Sur,-38.7,-74.1,1800,0,0,0,0,0,0,0,0,0,0,0
81,22,1,2008,Sur,-39.2,-73.3,4320,0,0,0,0,0,0,0,0,0,0,0
82,23,1,2008,Sur,-39.0,-73.4,6300,720,0,0,0,360,0,0,0,0,0,0
83,21,1,2008,Sur,-39.0,-73.5,9360,1440,180,0,0,360,0,0,0,0,0,0
84,23,1,2008,Sur,-39.0,-73.6,8280,0,0,0,0,180,0,0,0,0,0,0
85,23,1,2008,Sur,-39.0,-73.8,10080,0,180,180,0,0,0,0,0,0,0,0
86,23,1,2008,Sur,-39.0,-73.9,540,0,0,0,0,0,0,0,0,0,0,0
87,24,1,2008,Sur,-39.3,-73.3,4320,540,0,0,180,180,0,0,0,0,0,540
88,24,1,2008,Sur,-39.3,-73.4,12060,0,0,0,0,360,0,0,0,0,0,0
89,24,1,2008,Sur,-39.3,-73.5,16200,0,0,0,0,0,0,0,0,0,0,0
90,24,1,2008,Sur,-39.3,-73.7,2880,0,360,0,0,180,0,0,0,0,0,0
91,24,1,2008,Sur,-39.3,-73.9,2880,900,180,0,0,0,0,0,0,0,0,0
92,24,1,2008,Sur,-39.5,-73.3,4860,720,180,0,0,360,0,0,0,0,0,0
93,24,1,2008,Sur,-39.7,-74.1,180,0,1620,0,0,180,0,0,0,0,0,0
94,25,1,2008,Sur,-39.7,-73.8,1440,1080,2340,180,0,0,0,0,0,0,0,0
95,25,1,2008,Sur,-39.7,-73.6,2880,1080,720,0,0,180,180,0,0,0,0,0
96,25,1,2008,Sur,-39.7,-73.5,3240,1080,1260,0,0,540,0,0,0,0,0,0
97,25,1,2008,Sur,-39.7,-73.4,3420,180,0,0,0,180,0,0,0,0,0,360
98,25,1,2008,Sur,-39.8,-73.4,9720,1080,0,0,0,720,0,0,0,0,0,360
99,25,1,2008,Sur,-40.0,-74.2,360,0,0,0,0,0,0,0,0,0,0,0
100,26,1,2008,Sur,-40.0,-73.9,0,1440,1260,0,0,180,0,0,0,0,0,0
101,26,1,2008,Sur,-40.0,-73.8,0,1620,900,180,0,0,0,0,0,0,0,0
102,26,1,2008,Sur,-40.0,-73.7,2340,900,0,360,360,720,0,0,0,0,0,0
