Cruce,pais,buque,Est,lat(g) ,lat(m) ,long(g),long(m),Año,Mes,Dia,Hora,minuto,Profeco,Olasdir,Olasalt,Olasper, dirviento,vientint, Presatm,Taseco,Tahum,Tiempres,Tiponube,cantnube,vis, prof,Temp,Sali, sigmat, oxigsen,cloasensor , cloa , feop 
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,50,11.566,33.595,25.58,5.395,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,60,11.225,33.685,25.712,5.142,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,70,10.18,33.995,26.135,3.981,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,75,9.983,34.053,26.215,3.574,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,80,9.948,34.095,26.254,3.154,0,0,0
547,CHILE,ABATE MOLINA,3,41,40,74,0.1,2012,5,6,19,52,0,0,0,0,0,0,0,0,0,0,0,0,0,82,9.946,34.097,26.256,3.129,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,2,12.934,33.424,25.185,5.658,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,3,12.935,33.424,25.185,5.639,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,4,12.939,33.424,25.184,5.665,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,5,12.94,33.427,25.186,5.662,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,6,12.937,33.431,25.19,5.654,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,8,12.905,33.432,25.197,5.641,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12.871,33.433,25.205,5.633,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,12,12.806,33.44,25.222,5.649,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12.782,33.444,25.23,5.628,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,15,12.767,33.446,25.235,5.617,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,16,12.759,33.448,25.238,5.596,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,18,12.745,33.451,25.243,5.598,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,20,12.726,33.454,25.249,5.587,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,22,12.704,33.457,25.256,5.557,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,24,12.685,33.46,25.261,5.542,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,25,12.682,33.46,25.263,5.545,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,26,12.678,33.461,25.264,5.536,0,0,0
547,CHILE,ABATE MOLINA,4,41,40,74,6.8,2012,5,6,20,50,0,0,0,0,0,0,0,0,0,0,0,0,0,28,12.651,33.465,25.272,5.521,0,0,0
